date,return,VaR_threshold,exception
2020-01-03,-0.0023387563088326318,,0
2020-01-06,0.0016077127252058653,,0
2020-01-07,-0.006267098542734821,,0
2020-01-08,0.008375852421693608,,0
2020-01-09,0.012312911226099805,,0
2020-01-10,0.0021572053542718087,,0
2020-01-13,0.010017883474843173,,0
2020-01-14,-0.005177545572126249,,0
2020-01-15,0.002923583871182725,,0
2020-01-16,0.009150043524431096,,0
2020-01-17,0.0026688561469991306,,0
2020-01-21,1.7969063836101488e-05,,0
2020-01-22,0.0007513495197669431,,0
2020-01-23,0.005972815379968026,,0
2020-01-24,-0.0016526613970011363,,0
2020-01-27,-0.010425410823296658,,0
2020-01-28,0.01314696310243304,,0
2020-01-29,0.015306882255943201,,0
2020-01-30,0.00883510985085846,,0
2020-01-31,-0.0170441430528672,,0
2020-02-03,0.006842063034728869,,0
2020-02-04,0.017102761523379313,,0
2020-02-05,-0.0013651031520893545,,0
2020-02-06,0.012215707605085401,,0
2020-02-07,4.302238862326606e-05,,0
2020-02-10,0.011108258473306303,,0
2020-02-11,-0.011312771999649513,,0
2020-02-12,0.006617884241547978,,0
2020-02-13,-0.002915405780975125,,0
2020-02-14,0.004500652500042147,,0
2020-02-18,-0.0005210445732531907,,0
2020-02-19,0.005768251884995674,,0
2020-02-20,-0.005965957638368689,,0
2020-02-21,-0.01524032682929712,,0
2020-02-24,-0.025973698008539766,,0
2020-02-25,-0.01526268290282415,,0
2020-02-26,0.007615494153861827,,0
2020-02-27,-0.04329216904314712,,0
2020-02-28,0.015224041917688882,,0
2020-03-02,0.04868411073899499,,0
2020-03-03,-0.021991184411364585,,0
2020-03-04,0.02357418565442269,,0
2020-03-05,-0.011267553584223041,,0
2020-03-06,0.002896957557537861,,0
2020-03-09,-0.04194366071866374,,0
2020-03-10,0.02769133245150288,,0
2020-03-11,-0.03973324771040264,,0
2020-03-12,-0.0658139286372888,,0
2020-03-13,0.07440810533060982,,0
2020-03-16,-0.07813582866850434,,0
2020-03-17,0.017714444277899817,,0
2020-03-18,-0.041952910937667905,,0
2020-03-19,0.011829788340958988,,0
2020-03-20,-0.010456696875935586,,0
2020-03-23,0.00296171488036656,,0
2020-03-24,0.05460482914066003,,0
2020-03-25,-0.005805098144155852,,0
2020-03-26,0.0389556349511728,,0
2020-03-27,-0.01928963493556548,,0
2020-03-30,0.029284469297880398,,0
2020-03-31,-0.008682146098125077,,0
2020-04-01,-0.025430598285120263,,0
2020-04-02,0.014457237905709575,,0
2020-04-03,-0.007117384945132116,,0
2020-04-06,0.05091940920906697,,0
2020-04-07,-0.011001940288874317,,0
2020-04-08,0.009316806405881284,,0
2020-04-09,0.0030221062244464793,,0
2020-04-13,0.004167742844718162,,0
2020-04-14,0.03244123850311732,,0
2020-04-15,0.0021472829711772375,,0
2020-04-16,0.01626220246220582,,0
2020-04-17,-0.006128074830680335,,0
2020-04-20,-0.01099393883713753,,0
2020-04-21,-0.02037393176955423,,0
2020-04-22,0.017175962271405634,,0
2020-04-23,-0.0035881037888741236,,0
2020-04-24,0.016299562015239525,,0
2020-04-27,-0.006983685374539408,,0
2020-04-28,-0.00985307315593269,,0
2020-04-29,0.023670340037764814,,0
2020-04-30,0.006371056785235295,,0
2020-05-01,-0.01131195631387799,,0
2020-05-04,0.011166736462017386,,0
2020-05-05,0.006384802758743899,,0
2020-05-06,0.0012653148774160556,,0
2020-05-07,0.01088362263369663,,0
2020-05-08,0.005433683280745383,,0
2020-05-11,0.006289924054666411,,0
2020-05-12,-0.00806515115799623,,0
2020-05-13,-0.006804321422989398,,0
2020-05-14,0.0067312978239876045,,0
2020-05-15,0.001986109790905322,,0
2020-05-18,0.0035326354646350315,,0
2020-05-19,-0.003002525425135496,,0
2020-05-20,0.012008825005466644,,0
2020-05-21,-0.005690866848385524,,0
2020-05-22,0.004283796059603959,,0
2020-05-26,-0.010308119067393587,,0
2020-05-27,0.001276642583167489,,0
2020-05-28,-0.0018350697607397758,,0
2020-05-29,0.005429533125858512,,0
2020-06-01,0.0010576128377620165,,0
2020-06-02,0.004096281669459836,,0
2020-06-03,-0.0018219012484102307,,0
2020-06-04,-0.01216178999904374,,0
2020-06-05,0.014687662707003123,,0
2020-06-08,0.005302898535283129,,0
2020-06-09,0.016666653868744996,,0
2020-06-10,0.025513641283304727,,0
2020-06-11,-0.028556922446839973,,0
2020-06-12,0.0022565835452505413,,0
2020-06-15,0.006405447414121332,,0
2020-06-16,0.011638324615198637,,0
2020-06-17,0.0020605362405502837,,0
2020-06-18,0.007194135634025321,,0
2020-06-19,-0.0036360783586967017,,0
2020-06-22,0.017782000447634047,,0
2020-06-23,0.006973645603659197,,0
2020-06-24,-0.00916827529793561,,0
2020-06-25,0.009541259540303682,,0
2020-06-26,-0.013593390471420401,,0
2020-06-29,0.01010766309557129,,0
2020-06-30,0.009557590074596901,,0
2020-07-01,0.0006644863340890505,,0
2020-07-02,0.0028772752908456795,,0
2020-07-06,0.014530777289775346,,0
2020-07-07,-0.0002818810369805844,,0
2020-07-08,0.013591569007147721,,0
2020-07-09,0.009021461078031812,,0
2020-07-10,-0.00210909759288694,,0
2020-07-13,-0.010899285293509468,,0
2020-07-14,0.008003992366026053,,0
2020-07-15,0.00022885989470683435,,0
2020-07-16,-0.009215385368891924,,0
2020-07-17,-0.003077153133133568,,0
2020-07-20,0.02179791187994256,,0
2020-07-21,-0.00895357059022977,,0
2020-07-22,0.00668642325418327,,0
2020-07-23,-0.026480358759647105,,0
2020-07-24,-0.0028933527127777176,,0
2020-07-27,0.010764591619050325,,0
