Date,AAPL,TLT,MSFT
2020-01-02,72.53849792480469,117.57862854003906,152.79112243652344
2020-01-03,71.83329010009766,119.38944244384766,150.88858032226562
2020-01-06,72.4056625366211,118.7114486694336,151.27859497070312
2020-01-07,72.06515502929688,118.12788391113281,149.89930725097656
2020-01-08,73.22442626953125,117.34700775146484,152.28695678710938
2020-01-09,74.77974700927734,117.75887298583984,154.18948364257812
2020-01-10,74.94882202148438,118.80585479736328,153.4759979248047
2020-01-13,76.550048828125,118.44539642333984,155.3214569091797
2020-01-14,75.5163803100586,119.0546646118164,154.22752380371094
2020-01-15,75.1927490234375,119.84417724609375,155.22633361816406
2020-01-16,76.13465118408203,119.46666717529297,158.0706024169922
2020-01-17,76.97752380371094,118.44539642333984,158.95530700683594
2020-01-21,76.45585632324219,119.68974304199219,158.384521484375
2020-01-22,76.728759765625,120.11026000976562,157.6234893798828
2020-01-23,77.0982894897461,120.9512939453125,158.5937957763672
2020-01-24,76.87609100341797,121.9295883178711,156.99566650390625
2020-01-27,74.61553955078125,123.8261489868164,154.3702392578125
2020-01-28,76.72636413574219,122.8564224243164,157.39520263671875
2020-01-29,78.33240509033203,124.05785369873047,159.8494415283203
2020-01-30,78.21891021728516,124.07503509521484,164.3583984375
2020-01-31,74.75076293945312,125.20777130126953,161.9327392578125
2020-02-03,74.54550170898438,125.10636138916016,165.88043212890625
2020-02-04,77.00650787353516,123.42156219482422,171.34068298339844
2020-02-05,77.63444519042969,122.07197570800781,171.13140869140625
2020-02-06,78.54252624511719,122.62213134765625,174.67958068847656
2020-02-07,77.47492980957031,124.1522445678711,174.9269256591797
2020-02-10,77.8428955078125,124.49605560302734,179.50250244140625
2020-02-11,77.37322235107422,123.86858367919922,175.45010375976562
2020-02-12,79.21067810058594,123.24111938476562,175.70692443847656
2020-02-13,78.64661407470703,123.71388244628906,174.7556610107422
2020-02-14,78.6659927368164,124.25540161132812,176.31573486328125
2020-02-18,77.22557067871094,125.10636138916016,178.1041259765625
2020-02-19,78.3440170288086,125.0978012084961,178.6382293701172
2020-02-20,77.54029846191406,126.07774353027344,175.9102325439453
2020-02-21,75.78516387939453,127.25537872314453,170.34927368164062
2020-02-24,72.18534088134766,129.15512084960938,163.00457763671875
2020-02-25,69.7402572631836,129.84280395507812,160.31468200683594
2020-02-26,70.84658813476562,129.15512084960938,162.31776428222656
2020-02-27,66.21548461914062,130.5562744140625,150.88104248046875
2020-02-28,66.1767349243164,133.5047149658203,154.5343017578125
2020-03-02,72.33783721923828,132.52247619628906,164.81689453125
2020-03-03,70.04045104980469,134.5800018310547,156.9189453125
2020-03-04,73.28925323486328,133.15086364746094,162.68028259277344
2020-03-05,70.91195678710938,136.4652557373047,158.59774780273438
2020-03-06,69.97025299072266,143.5674591064453,154.11465454101562
2020-03-09,64.4361572265625,147.4586639404297,143.66989135742188
2020-03-10,69.07695770263672,139.9001007080078,153.49461364746094
2020-03-11,66.6778793334961,134.7521209716797,146.54100036621094
2020-03-12,60.09311294555664,135.587158203125,132.643310546875
2020-03-13,67.29277038574219,132.52247619628906,151.5010528564453
2020-03-16,58.635765075683594,141.10533142089844,129.17124938964844
2020-03-17,61.2139778137207,131.69598388671875,139.8067626953125
2020-03-18,59.7154655456543,124.26665496826172,133.9214630126953
2020-03-19,59.25791549682617,127.64994049072266,136.12486267089844
2020-03-20,55.49590301513672,137.24862670898438,131.01222229003906
2020-03-23,54.31694030761719,142.90444946289062,129.70541381835938
2020-03-24,59.766300201416016,140.24444580078125,141.4950714111328
2020-03-25,59.43706512451172,139.926025390625,140.14060974121094
2020-03-26,62.5648193359375,140.61463928222656,148.9065704345703
2020-03-27,59.974491119384766,144.36801147460938,142.7923583984375
2020-03-30,61.68605041503906,143.18006896972656,152.83642578125
2020-03-31,61.56016159057617,142.01785278320312,150.43275451660156
2020-04-01,58.32105255126953,144.007568359375,145.09115600585938
