Date,AAPL,MSFT,TLT
2020-01-02,72.53852081298828,152.79112243652344,117.57862854003906
2020-01-03,71.83330535888672,150.8885955810547,119.38941192626953
2020-01-06,72.40567779541016,151.27862548828125,118.71143341064453
2020-01-07,72.06515502929688,149.8992919921875,118.12791442871094
2020-01-08,73.22440338134766,152.28695678710938,117.34690856933594
2020-01-09,74.77976989746094,154.18948364257812,117.75886535644531
2020-01-10,74.94880676269531,153.47604370117188,118.80583190917969
2020-01-13,76.55005645751953,155.3214569091797,118.4454116821289
2020-01-14,75.516357421875,154.22752380371094,119.05470275878906
2020-01-15,75.19274139404297,155.2263641357422,119.84423828125
2020-01-16,76.1346206665039,158.07061767578125,119.46664428710938
2020-01-17,76.97753143310547,158.95529174804688,118.4454116821289
2020-01-21,76.45586395263672,158.38450622558594,119.6897964477539
2020-01-22,76.72877502441406,157.62350463867188,120.11031341552734
2020-01-23,77.09828186035156,158.59381103515625,120.95128631591797
2020-01-24,76.8760757446289,156.9957275390625,121.92960357666016
2020-01-27,74.61552429199219,154.37020874023438,123.82616424560547
2020-01-28,76.7263412475586,157.395263671875,122.85643768310547
2020-01-29,78.33243560791016,159.8494415283203,124.05789184570312
2020-01-30,78.21891021728516,164.35841369628906,124.07508087158203
2020-01-31,74.75077056884766,161.9326934814453,125.20783996582031
2020-02-03,74.54549407958984,165.8804473876953,125.10640716552734
2020-02-04,77.00653076171875,171.34066772460938,123.42156219482422
2020-02-05,77.63446807861328,171.1314239501953,122.072021484375
2020-02-06,78.54253387451172,174.67958068847656,122.6221923828125
2020-02-07,77.47492218017578,174.92689514160156,124.15220642089844
2020-02-10,77.84288024902344,179.50242614746094,124.49609375
2020-02-11,77.37325286865234,175.4501190185547,123.86859130859375
2020-02-12,79.21068572998047,175.70693969726562,123.24104309082031
2020-02-13,78.6466064453125,174.7556915283203,123.7138442993164
2020-02-14,78.666015625,176.31576538085938,124.25536346435547
2020-02-18,77.22557067871094,178.10409545898438,125.10640716552734
2020-02-19,78.34400177001953,178.63827514648438,125.0978012084961
2020-02-20,77.54029083251953,175.91021728515625,126.07776641845703
2020-02-21,75.78514099121094,170.3492431640625,127.25543975830078
2020-02-24,72.18533325195312,163.0045166015625,129.155029296875
2020-02-25,69.74024200439453,160.31468200683594,129.84274291992188
2020-02-26,70.84660339355469,162.31781005859375,129.155029296875
2020-02-27,66.21546173095703,150.8810577392578,130.5562744140625
2020-02-28,66.1767349243164,154.5343017578125,133.50477600097656
2020-03-02,72.33784484863281,164.81686401367188,132.52247619628906
2020-03-03,70.04044342041016,156.91893005371094,134.58001708984375
2020-03-04,73.28925323486328,162.6802520751953,133.15089416503906
2020-03-05,70.9119873046875,158.59774780273438,136.46530151367188
2020-03-06,69.97025299072266,154.1146240234375,143.5674591064453
2020-03-09,64.43616485595703,143.66990661621094,147.45860290527344
2020-03-10,69.07694244384766,153.4945831298828,139.9001007080078
2020-03-11,66.67787170410156,146.54098510742188,134.75210571289062
2020-03-12,60.09312057495117,132.6432647705078,135.587158203125
2020-03-13,67.29277801513672,151.50103759765625,132.52247619628906
2020-03-16,58.63575744628906,129.17124938964844,141.1053009033203
2020-03-17,61.21398162841797,139.80679321289062,131.69602966308594
2020-03-18,59.715476989746094,133.9214630126953,124.26669311523438
2020-03-19,59.25791931152344,136.12490844726562,127.64995574951172
2020-03-20,55.49589920043945,131.01222229003906,137.2486572265625
2020-03-23,54.31694030761719,129.7054443359375,142.90455627441406
2020-03-24,59.766300201416016,141.49508666992188,140.24441528320312
2020-03-25,59.437076568603516,140.14060974121094,139.926025390625
2020-03-26,62.5648193359375,148.9065704345703,140.61463928222656
2020-03-27,59.97449493408203,142.7923126220703,144.36802673339844
2020-03-30,61.68605422973633,152.83648681640625,143.1800994873047
2020-03-31,61.56016159057617,150.43272399902344,142.01780700683594
2020-04-01,58.321048736572266,145.0911407470703,144.0076446533203
2020-04-02,59.29423522949219,148.0957794189453,144.9214630126953
2020-04-03,58.44208908081055,146.73175048828125,145.2663116455078
2020-04-06,63.54045104980469,157.6438751220703,144.88699340820312
2020-04-07,62.80450439453125,155.946044921875,143.3697052001953
2020-04-08,64.41194915771484,157.5103759765625,142.3264617919922
2020-04-09,64.87674713134766,157.51991271972656,142.58511352539062
2020-04-13,66.1501235961914,157.87278747558594,141.28330993652344
2020-04-14,69.49091339111328,165.68490600585938,141.24887084960938
2020-04-15,68.85663604736328,163.94888305664062,144.9904327392578
2020-04-16,69.40375518798828,168.87078857421875,146.63710021972656
2020-04-17,68.46205139160156,170.3588104248047,144.67140197753906
2020-04-20,67.04102325439453,166.9821319580078,145.8353271484375
2020-04-21,64.96874237060547,160.0762481689453,147.67166137695312
